Filename,Functions,Expected_insns,Parallel,Repetition,CompileTime
1-10-23.c,1,10,1,Execution_1,0.041896814
1-10-23.c,1,10,2,Execution_1,0.028873689
1-10-24.c,1,10,1,Execution_1,0.032625625
1-10-24.c,1,10,2,Execution_1,0.042500759
1-104-22.c,1,104,1,Execution_1,0.060373577
1-104-22.c,1,104,2,Execution_1,0.059406736
1-11-37.cc,1,11,1,Execution_1,0.478051487
1-11-37.cc,1,11,2,Execution_1,0.477258687
1-12-13.c,1,12,1,Execution_1,0.035423416
1-12-13.c,1,12,2,Execution_1,0.035078863
1-12-27.c,1,12,1,Execution_1,0.029909487
1-12-27.c,1,12,2,Execution_1,0.04070441
1-14-29.c,1,14,1,Execution_1,0.029733716
1-14-29.c,1,14,2,Execution_1,0.029279412
1-14-9.c,1,14,1,Execution_1,0.034185359
1-14-9.c,1,14,2,Execution_1,0.033954958
1-15-26.c,1,15,1,Execution_1,0.030662143
1-15-26.c,1,15,2,Execution_1,0.030197634
1-15-4.c,1,15,1,Execution_1,0.033827026
1-15-4.c,1,15,2,Execution_1,0.04419722
1-15-8.c,1,15,1,Execution_1,0.034519194
1-15-8.c,1,15,2,Execution_1,0.034125801
1-169-38.cc,1,169,1,Execution_1,0.324304934
1-169-38.cc,1,169,2,Execution_1,0.326593197
1-18-28.c,1,18,1,Execution_1,0.030999615
1-18-28.c,1,18,2,Execution_1,0.03071535
1-19-25.c,1,19,1,Execution_1,0.031851151
1-19-25.c,1,19,2,Execution_1,0.031747156
1-19-36.cc,1,19,1,Execution_1,0.140650483
1-19-36.cc,1,19,2,Execution_1,0.15814256
1-20-21.c,1,20,1,Execution_1,0.035092304
1-20-21.c,1,20,2,Execution_1,0.03475896
1-22-2.c,1,22,1,Execution_1,0.034484441
1-22-2.c,1,22,2,Execution_1,0.034028049
1-223-12.c,1,223,1,Execution_1,0.10566761
1-223-12.c,1,223,2,Execution_1,0.12279452
1-231-35.cc,1,231,1,Execution_1,0.151762017
1-231-35.cc,1,231,2,Execution_1,0.161966553
1-25-19.c,1,25,1,Execution_1,0.032754513
1-25-19.c,1,25,2,Execution_1,0.032433379
1-25-31.cc,1,25,1,Execution_1,0.167207181
1-25-31.cc,1,25,2,Execution_1,0.19026975
1-25-5.c,1,25,1,Execution_1,0.033074687
1-25-5.c,1,25,2,Execution_1,0.032763979
1-26-3.c,1,26,1,Execution_1,0.03769103
1-26-3.c,1,26,2,Execution_1,0.037134286
1-27-1.c,1,27,1,Execution_1,0.038249544
1-27-1.c,1,27,2,Execution_1,0.056169599
1-27-17.c,1,27,1,Execution_1,0.034412773
1-27-17.c,1,27,2,Execution_1,0.052420007
1-28-18.c,1,28,1,Execution_1,0.029330627
1-28-18.c,1,28,2,Execution_1,0.02909661
1-283-11.c,1,283,1,Execution_1,0.121645804
1-283-11.c,1,283,2,Execution_1,0.121385742
1-29-14.c,1,29,1,Execution_1,0.031617715
1-29-14.c,1,29,2,Execution_1,0.031352513
1-3-10.c,1,3,1,Execution_1,0.027299697
1-3-10.c,1,3,2,Execution_1,0.037783822
1-3-33.cc,1,3,1,Execution_1,0.463020264
1-3-33.cc,1,3,2,Execution_1,0.47328677
1-43-34.cc,1,43,1,Execution_1,0.371197767
1-43-34.cc,1,43,2,Execution_1,0.371180558
1-5-20.c,1,5,1,Execution_1,0.025504269
1-5-20.c,1,5,2,Execution_1,0.025315438
1-54-16.c,1,54,1,Execution_1,0.053583023
1-54-16.c,1,54,2,Execution_1,0.053280836
1-59-7.c,1,59,1,Execution_1,0.044346418
1-59-7.c,1,59,2,Execution_1,0.0573113
1-6-15.c,1,6,1,Execution_1,0.025888248
1-6-15.c,1,6,2,Execution_1,0.025108486
1-7-39.cc,1,7,1,Execution_1,0.339640922
1-7-39.cc,1,7,2,Execution_1,0.348618081
1-73-32.cc,1,73,1,Execution_1,0.11704552
1-73-32.cc,1,73,2,Execution_1,0.116859316
1-8-6.c,1,8,1,Execution_1,0.028328758
1-8-6.c,1,8,2,Execution_1,0.027993712
1-9-30.cc,1,9,1,Execution_1,0.987723341
1-9-30.cc,1,9,2,Execution_1,1.002527376
10-10726-5.cc,10,10726,1,Execution_1,5.087926643
10-10726-5.cc,10,10726,2,Execution_1,5.246936744
10-220-1.c,10,220,1,Execution_1,0.084936557
10-220-1.c,10,220,2,Execution_1,0.095411611
10-2221-8.cc,10,2221,1,Execution_1,0.881859342
10-2221-8.cc,10,2221,2,Execution_1,0.892184887
10-242-3.cc,10,242,1,Execution_1,0.415548909
10-242-3.cc,10,242,2,Execution_1,0.402952611
10-270-4.cc,10,270,1,Execution_1,0.93731832
10-270-4.cc,10,270,2,Execution_1,0.949936961
10-339-11.cc,10,339,1,Execution_1,0.207753724
10-339-11.cc,10,339,2,Execution_1,0.205783704
10-350-10.cc,10,350,1,Execution_1,0.730373306
10-350-10.cc,10,350,2,Execution_1,0.706012649
10-383-2.cc,10,383,1,Execution_1,0.744629164
10-383-2.cc,10,383,2,Execution_1,0.780976439
10-387-6.cc,10,387,1,Execution_1,0.570946188
10-387-6.cc,10,387,2,Execution_1,0.588233716
10-423-7.cc,10,423,1,Execution_1,0.737316748
10-423-7.cc,10,423,2,Execution_1,0.75011099
10-423-9.cc,10,423,1,Execution_1,0.234314941
10-423-9.cc,10,423,2,Execution_1,0.23283248
100-3008-1.cc,100,3008,1,Execution_1,1.467885252
100-3008-1.cc,100,3008,2,Execution_1,1.321939338
100-8606-2.cc,100,8606,1,Execution_1,2.822393508
100-8606-2.cc,100,8606,2,Execution_1,2.535902596
1015-20267-1.cc,1015,20267,1,Execution_1,5.743965516
1015-20267-1.cc,1015,20267,2,Execution_1,3.96515958
102-1883-2.cc,102,1883,1,Execution_1,1.172978132
102-1883-2.cc,102,1883,2,Execution_1,1.107463781
102-3844-3.cc,102,3844,1,Execution_1,1.582953891
102-3844-3.cc,102,3844,2,Execution_1,1.453713846
102-3908-1.cc,102,3908,1,Execution_1,1.804166579
102-3908-1.cc,102,3908,2,Execution_1,1.49153727
103-4020-3.cc,103,4020,1,Execution_1,1.676704028
103-4020-3.cc,103,4020,2,Execution_1,1.442561343
103-5107-2.cc,103,5107,1,Execution_1,1.88521081
103-5107-2.cc,103,5107,2,Execution_1,1.734770478
103-8214-1.cc,103,8214,1,Execution_1,2.15569592
103-8214-1.cc,103,8214,2,Execution_1,1.552673063
104-3709-1.cc,104,3709,1,Execution_1,1.538895565
104-3709-1.cc,104,3709,2,Execution_1,1.354404002
104-8813-2.cc,104,8813,1,Execution_1,2.050518859
104-8813-2.cc,104,8813,2,Execution_1,1.778670281
1040-36484-1.cc,1040,36484,1,Execution_1,12.967953061
1040-36484-1.cc,1040,36484,2,Execution_1,11.332228574
105-3102-3.cc,105,3102,1,Execution_1,0.895327795
105-3102-3.cc,105,3102,2,Execution_1,0.677564323
105-4279-5.cc,105,4279,1,Execution_1,1.977927561
105-4279-5.cc,105,4279,2,Execution_1,1.809651186
105-4403-2.cc,105,4403,1,Execution_1,2.076680225
105-4403-2.cc,105,4403,2,Execution_1,1.843396088
105-4898-4.cc,105,4898,1,Execution_1,1.757187132
105-4898-4.cc,105,4898,2,Execution_1,1.499872705
105-9205-1.cc,105,9205,1,Execution_1,2.503917286
105-9205-1.cc,105,9205,2,Execution_1,2.071184957
106-17640-3.cc,106,17640,1,Execution_1,4.076825857
106-17640-3.cc,106,17640,2,Execution_1,4.011567854
106-8251-2.cc,106,8251,1,Execution_1,1.811808522
106-8251-2.cc,106,8251,2,Execution_1,1.273806782
106-8403-1.cc,106,8403,1,Execution_1,2.613017848
106-8403-1.cc,106,8403,2,Execution_1,2.452213616
107-5036-1.cc,107,5036,1,Execution_1,2.155621604
107-5036-1.cc,107,5036,2,Execution_1,1.721488605
108-2651-1.cc,108,2651,1,Execution_1,1.008100151
108-2651-1.cc,108,2651,2,Execution_1,0.838240979
108-3203-3.cc,108,3203,1,Execution_1,2.503615683
108-3203-3.cc,108,3203,2,Execution_1,2.418235171
108-4488-2.cc,108,4488,1,Execution_1,1.975476264
108-4488-2.cc,108,4488,2,Execution_1,1.89917209
109-12401-3.cc,109,12401,1,Execution_1,2.621358253
109-12401-3.cc,109,12401,2,Execution_1,2.380052244
109-14629-2.cc,109,14629,1,Execution_1,2.219519797
109-14629-2.cc,109,14629,2,Execution_1,1.947989906
109-1964-1.cc,109,1964,1,Execution_1,1.470697869
109-1964-1.cc,109,1964,2,Execution_1,1.398347969
11-120-3.cc,11,120,1,Execution_1,0.375065488
11-120-3.cc,11,120,2,Execution_1,0.374070571
11-168-5.cc,11,168,1,Execution_1,0.715336204
11-168-5.cc,11,168,2,Execution_1,0.739973007
11-188-2.cc,11,188,1,Execution_1,0.158496923
11-188-2.cc,11,188,2,Execution_1,0.170450507
11-368-7.cc,11,368,1,Execution_1,0.539753565
11-368-7.cc,11,368,2,Execution_1,0.530721042
11-460-1.c,11,460,1,Execution_1,0.117764737
11-460-1.c,11,460,2,Execution_1,0.138311594
11-485-8.cc,11,485,1,Execution_1,0.865211902
11-485-8.cc,11,485,2,Execution_1,0.88599843
11-547-6.cc,11,547,1,Execution_1,0.90931971
11-547-6.cc,11,547,2,Execution_1,0.935613005
11-673-4.cc,11,673,1,Execution_1,0.520495102
11-673-4.cc,11,673,2,Execution_1,0.499047767
110-7694-1.cc,110,7694,1,Execution_1,2.338807781
110-7694-1.cc,110,7694,2,Execution_1,1.882344979
111-6170-2.cc,111,6170,1,Execution_1,2.07537309
111-6170-2.cc,111,6170,2,Execution_1,1.777241843
111-6626-1.c,111,6626,1,Execution_1,1.757307613
111-6626-1.c,111,6626,2,Execution_1,1.251181245
112-3088-1.cc,112,3088,1,Execution_1,1.75802195
112-3088-1.cc,112,3088,2,Execution_1,1.650103154
112-4298-2.cc,112,4298,1,Execution_1,1.825875914
112-4298-2.cc,112,4298,2,Execution_1,1.556563491
113-14806-4.cc,113,14806,1,Execution_1,3.528032761
113-14806-4.cc,113,14806,2,Execution_1,3.045518161
113-2461-1.cc,113,2461,1,Execution_1,2.455256552
113-2461-1.cc,113,2461,2,Execution_1,2.355350749
113-3890-2.cc,113,3890,1,Execution_1,1.809666777
113-3890-2.cc,113,3890,2,Execution_1,1.582262029
113-5188-5.cc,113,5188,1,Execution_1,2.345173712
113-5188-5.cc,113,5188,2,Execution_1,2.445726842
113-7755-3.cc,113,7755,1,Execution_1,2.387335534
113-7755-3.cc,113,7755,2,Execution_1,2.143941818
114-34271-2.cc,114,34271,1,Execution_1,4.927982194
114-34271-2.cc,114,34271,2,Execution_1,5.011307796
114-4146-3.cc,114,4146,1,Execution_1,1.509926964
114-4146-3.cc,114,4146,2,Execution_1,1.25819511
114-5468-1.cc,114,5468,1,Execution_1,2.321397962
114-5468-1.cc,114,5468,2,Execution_1,1.977549075
115-4111-2.cc,115,4111,1,Execution_1,1.925279373
115-4111-2.cc,115,4111,2,Execution_1,1.688164842
115-7603-1.cc,115,7603,1,Execution_1,2.475396183
115-7603-1.cc,115,7603,2,Execution_1,2.048055441
116-3044-3.cc,116,3044,1,Execution_1,1.212480367
116-3044-3.cc,116,3044,2,Execution_1,1.128972852
116-3813-2.cc,116,3813,1,Execution_1,1.58608186
116-3813-2.cc,116,3813,2,Execution_1,1.32601961
116-7239-4.cc,116,7239,1,Execution_1,2.411162142
116-7239-4.cc,116,7239,2,Execution_1,2.150681617
116-9439-1.cc,116,9439,1,Execution_1,2.295214323
116-9439-1.cc,116,9439,2,Execution_1,1.839829514
117-21950-4.cc,117,21950,1,Execution_1,4.448881993
117-21950-4.cc,117,21950,2,Execution_1,3.264348453
117-3877-3.cc,117,3877,1,Execution_1,1.226883105
117-3877-3.cc,117,3877,2,Execution_1,1.038442342
117-4178-1.cc,117,4178,1,Execution_1,1.455410337
117-4178-1.cc,117,4178,2,Execution_1,1.226853912
117-8693-2.cc,117,8693,1,Execution_1,2.488153492
117-8693-2.cc,117,8693,2,Execution_1,2.15215681
119-11281-1.cc,119,11281,1,Execution_1,2.972403847
119-11281-1.cc,119,11281,2,Execution_1,2.412920012
12-125-7.cc,12,125,1,Execution_1,0.952851434
12-125-7.cc,12,125,2,Execution_1,0.968792514
12-195-3.cc,12,195,1,Execution_1,0.501266039
12-195-3.cc,12,195,2,Execution_1,0.499253942
12-196-2.cc,12,196,1,Execution_1,0.500284572
12-196-2.cc,12,196,2,Execution_1,0.525031113
12-389-4.cc,12,389,1,Execution_1,0.511039968
12-389-4.cc,12,389,2,Execution_1,0.529843571
12-408-13.cc,12,408,1,Execution_1,0.727103591
12-408-13.cc,12,408,2,Execution_1,0.753418545
12-450-10.cc,12,450,1,Execution_1,0.775001034
12-450-10.cc,12,450,2,Execution_1,0.800007522
12-464-9.cc,12,464,1,Execution_1,0.807691053
12-464-9.cc,12,464,2,Execution_1,0.840668905
12-512-6.cc,12,512,1,Execution_1,0.21766743
12-512-6.cc,12,512,2,Execution_1,0.227833876
12-65-12.cc,12,65,1,Execution_1,0.358630106
12-65-12.cc,12,65,2,Execution_1,0.368066177
12-659-11.cc,12,659,1,Execution_1,0.598973718
12-659-11.cc,12,659,2,Execution_1,0.629096293
12-798-1.cc,12,798,1,Execution_1,0.793653851
12-798-1.cc,12,798,2,Execution_1,0.793884592
12-850-5.cc,12,850,1,Execution_1,0.567431394
12-850-5.cc,12,850,2,Execution_1,0.602387028
12-864-8.cc,12,864,1,Execution_1,0.924449924
12-864-8.cc,12,864,2,Execution_1,0.96604192
120-5181-1.cc,120,5181,1,Execution_1,1.99542914
120-5181-1.cc,120,5181,2,Execution_1,1.856537973
122-2736-3.cc,122,2736,1,Execution_1,1.504916551
122-2736-3.cc,122,2736,2,Execution_1,1.407551961
122-4210-1.cc,122,4210,1,Execution_1,1.709485618
122-4210-1.cc,122,4210,2,Execution_1,1.468623342
122-8823-2.cc,122,8823,1,Execution_1,2.446459291
122-8823-2.cc,122,8823,2,Execution_1,1.911519719
123-4816-1.cc,123,4816,1,Execution_1,1.939868188
123-4816-1.cc,123,4816,2,Execution_1,1.623595545
123-5442-2.cc,123,5442,1,Execution_1,2.152871193
123-5442-2.cc,123,5442,2,Execution_1,2.035827069
124-10379-1.cc,124,10379,1,Execution_1,2.78054498
124-10379-1.cc,124,10379,2,Execution_1,2.406069651
125-4467-2.cc,125,4467,1,Execution_1,1.985358982
125-4467-2.cc,125,4467,2,Execution_1,1.816713151
