Filename; Functions; Expected_insns; Parallel; Execution_1; Execution_2; Execution_3; Execution_4; Execution_5; Execution_6; Execution_7; Execution_8; Execution_9; Execution_10; Execution_11; Execution_12; Execution_13; Execution_14; Execution_15
0-0-1.c; 0; 0; false; 0.027960504; 0.021210158; 0.021114984; 0.020312937; 0.022279662; 0.021369897; 0.021340173; 0.022605449; 0.020331691; 0.02070859; 0.021409589; 0.021145645; 0.021315052; 0.02150463; 0.021938635
0-0-1.c; 0; 0; true; 0.021524143; 0.021309906; 0.021375277; 0.022098277; 0.020505335; 0.021273879; 0.021510204; 0.021429983; 0.02191578; 0.021322829; 0.021291337; 0.021731516; 0.021416827; 0.020476193; 0.021356852
0-0-10.cc; 0; 0; false; 0.121969899; 0.107195717; 0.116762036; 0.108676567; 0.108488963; 0.108075471; 0.109107422; 0.10845361; 0.109522742; 0.108627618; 0.108271555; 0.10883789; 0.108206791; 0.108274762; 0.108094338
0-0-10.cc; 0; 0; true; 0.108891216; 0.108410663; 0.108868382; 0.109073938; 0.108348786; 0.108386012; 0.108624379; 0.1090816; 0.108502178; 0.108718346; 0.10882944; 0.108911422; 0.108842344; 0.108647877; 0.108846152
0-0-11.cc; 0; 0; false; 0.016833785; 0.017134915; 0.016641288; 0.016635179; 0.016809767; 0.016537298; 0.016365794; 0.016286052; 0.016273113; 0.016193711; 0.016473322; 0.016440945; 0.016316325; 0.016242933; 0.016303579
0-0-11.cc; 0; 0; true; 0.0163929; 0.016575414; 0.016523144; 0.016552168; 0.016296119; 0.016329641; 0.016393792; 0.016604561; 0.016381824; 0.016340372; 0.016420858; 0.016340293; 0.016209987; 0.016312856; 0.016478197
0-0-12.cc; 0; 0; false; 0.016855476; 0.017076943; 0.016800054; 0.016517423; 0.016612921; 0.016637146; 0.016409228; 0.016324527; 0.016756788; 0.017073065; 0.016912984; 0.016765098; 0.01642744; 0.016384407; 0.016416403
0-0-12.cc; 0; 0; true; 0.016552163; 0.016517936; 0.016513807; 0.016380186; 0.016467612; 0.016479868; 0.016381628; 0.016461741; 0.01653774; 0.016784681; 0.017144122; 0.017311715; 0.017270466; 0.019187293; 0.020978118
0-0-13.cc; 0; 0; false; 0.31315455; 0.304994327; 0.311575891; 0.324988001; 0.309651383; 0.315973135; 0.306217172; 0.311321798; 0.309640083; 0.306499735; 0.309727268; 0.305199916; 0.306125328; 0.306628738; 0.306179137
0-0-13.cc; 0; 0; true; 0.337393066; 0.331039816; 0.331583892; 0.332489555; 0.33178499; 0.330776927; 0.331311826; 0.331448872; 0.331167594; 0.332786513; 0.332298266; 0.33069168; 0.330876828; 0.331109886; 0.331265945
0-0-14.cc; 0; 0; false; 0.334169038; 0.3348637; 0.334774872; 0.331876183; 0.332664613; 0.331464831; 0.33114013; 0.331362213; 0.331583466; 0.329801628; 0.333212734; 0.330495822; 0.333187684; 0.332194596; 0.329945888
0-0-14.cc; 0; 0; true; 0.332100625; 0.331604636; 0.330513763; 0.330526136; 0.330499178; 0.331117696; 0.331848066; 0.330907676; 0.331515061; 0.330826372; 0.331192809; 0.330099833; 0.330740409; 0.331587881; 0.33097452
0-0-15.cc; 0; 0; false; 0.113025178; 0.112189444; 0.11291215; 0.113704231; 0.113897035; 0.11254124; 0.112174514; 0.112111003; 0.112314612; 0.112265143; 0.112350631; 0.111284938; 0.111583056; 0.11208829; 0.112638589
